大分類,小分類,名称,所在地,電話番号,情報,X座標,Y座標
観光,観光,上野観光連盟,上野2丁目1番3号,03-3832-0084,,139.7726052,35.70822469
観光,観光,浅草観光連盟,花川戸1丁目15番1号,03-3844-1221,,139.798303,35.71348469
観光,観光,浅草文化観光センター,雷門2丁目18番9号,03-3842-5566,,139.7965351,35.7106499
美術館,美術館,国立西洋美術館,上野公園7番7号,03-5777-8600,,139.7757947,35.7153841
文化,文化,旧東京音楽学校奏楽堂,上野公園8番43号,03-3824-1988,,139.7731148,35.7180638
美術館,美術館,東京藝術大学大学美術館,上野公園12番8号　,050-5525-2200,,139.7717248,35.71923367
美術館,美術館,東京都美術館,上野公園8番36号　,03-3823-6921,,139.7728548,35.71720387
美術館,美術館,上野の森美術館,上野公園1番2号,03-3833-4191,,139.7748249,35.71262432
観光,観光,横山大観記念館,池之端1丁目4番24号,03-3821-1017,,139.7682752,35.71220414
博物館,博物館,大名時計博物館,谷中2丁目1番27号,03-3821-6913,,139.7663451,35.72124325
観光,観光,皮革産業資料館,橋場1丁目36番2号産業研修センター内,03-3872-6780,,139.8082731,35.72393507
博物館,博物館,国立科学博物館,上野公園7番20号,03-3822-0111,,139.7765146,35.71629404
観光,観光,江戸たいとう伝統工芸館,浅草2丁目22番13号,03-3842-1990,,139.7938633,35.71627434
観光,観光,国際子ども図書館,上野公園12-49,03-3827-2053,,139.7738247,35.7194737
文化,文化,一葉記念館,竜泉3丁目18番4号,03-3873-0004,,139.7928226,35.72562329
文化,文化,下町風俗資料館付設展示場（旧吉田屋酒店）,上野桜木2-10-6,（3823）4408,,139.7708748,35.72132345
文化,文化,下町風俗資料館,上野公園2番1号,03-3823-7451,,139.7727151,35.71025449
文化,文化,書道博物館,根岸2丁目10番4号,03-3872-2645,,139.7762944,35.72464337
文化,文化,朝倉彫塑館,谷中7丁目18番10号,03-3821-4549,,139.7686349,35.72678288
文化,文化,芸術文化財団事務局,北上野2-16-8(台東清掃事務所北上野分室内),（5828）7590,,139.7838762,35.717651
観光,観光,ねぎし三平堂,根岸2丁目10番12号,03-3873-0760,,139.7762244,35.72493335
博物館,博物館,東京国立博物館,上野公園13番9号　,03-5777-8600,,139.7765345,35.71880382
観光,観光,東京文化会館,上野公園5番45号　,03-3828-2111,,139.7753048,35.71424419
観光,観光,黒田記念館,上野公園13番43号,03-5777-8600,,139.7733447,35.71881374
文化,文化,たなか舞台芸術スタジオ,台東区日本堤２丁目２５－４,5808-7327,東京都台東区日本堤２－２５－４ たなか多目的センター２F,139.7973602,35.72792438
観光,観光,ふるさと交流ショップ 台東,台東区浅草4丁目36番5号,03-3874-8827,,139.7953922,35.71972087
博物館,博物館,世界のカバン博物館,台東区駒形 1丁目8番10号,,,139.7953011,35.70804452
観光,観光,日本文具資料館,台東区柳橋1丁目1番15号 （東京文具販売健康保険組合会館１階）,03-3861-4905,,139.7887635,35.69679219
観光,観光,袋物参考館,台東区浅草橋2丁目4番1号,03-3862-2111,要電話連絡,139.7857517,35.69881705
観光,観光,上野動物園,台東区上野公園9番83号,03-3828-5171,,139.772495,35.71615114
